City,Location,Area,BHK,CarParking,Price
Banglore,JP Nagar Phase 1,3340,4,0,30000000
Banglore,Doddanekundi,1675,3,0,8358000
Banglore,Kengeri,1670,3,1,6845000
Banglore,Horamavu,1220,2,1,6797000
Banglore,Thanisandra,2502,4,1,20000000
Banglore,Ramamurthy Nagar,1438,3,1,7105000
Banglore,Whitefield Hope Farm Junction,1405,3,0,8405000
Banglore,Electronic City Phase 1,660,1,1,3506000
Banglore,Yelahanka,1362,2,1,7700000
Banglore,Anjanapura,1735,3,1,9369000
Banglore,Jalahalli,1575,3,0,8716000
Banglore,Kasavanahalli,1120,2,1,5394000
Banglore,Whitefield Hope Farm Junction,1415,3,0,6367000
Banglore,Bommasandra,1270,2,1,5080000
Banglore,Bellandur,1311,3,1,7209999
Banglore,RR Nagar,1210,2,1,5700000
Banglore,JP Nagar Phase 1,3340,4,0,30000000
Banglore,Doddanekundi,1675,3,0,8358000
Banglore,Kengeri,1670,3,1,6845000
Banglore,Horamavu,1220,2,1,6797000
Banglore,Thanisandra,2502,4,1,20000000
Banglore,Ramamurthy Nagar,1438,3,1,7105000
Banglore,Whitefield Hope Farm Junction,1405,3,0,8405000
Banglore,Electronic City Phase 1,660,1,1,3506000
Banglore,Yelahanka,1362,2,1,7700000
Banglore,Anjanapura,1735,3,1,9369000
Banglore,Jalahalli,1575,3,0,8716000
Banglore,Kasavanahalli,1120,2,1,5394000
Banglore,Whitefield Hope Farm Junction,1415,3,0,6367000
Banglore,Bommasandra,1270,2,1,5080000
Banglore,Bellandur,1311,3,1,7209999
Banglore,RR Nagar,1210,2,1,5700000
Banglore,Whitefield Hope Farm Junction,1705,3,0,12400000
Banglore,Begur,1187,2,0,4900000
Banglore,JP Nagar Phase 1,3340,4,0,30000000
Banglore,Doddanekundi,1675,3,0,8358000
Banglore,Kengeri,1670,3,1,6845000
Banglore,Horamavu,1220,2,1,6797000
Banglore,Thanisandra,2502,4,1,20000000
Banglore,Ramamurthy Nagar,1438,3,1,7105000
Banglore,Whitefield Hope Farm Junction,1405,3,0,8405000
Banglore,Electronic City Phase 1,660,1,1,3506000
Banglore,Yelahanka,1362,2,1,7700000
Banglore,Anjanapura,1735,3,1,9369000
Banglore,Jalahalli,1575,3,0,8716000
Banglore,Kasavanahalli,1120,2,1,5394000
Banglore,Whitefield Hope Farm Junction,1415,3,0,6367000
Banglore,Bommasandra,1270,2,1,5080000
Banglore,Bellandur,1311,3,1,7209999
Banglore,RR Nagar,1210,2,1,5700000
Banglore,Whitefield Hope Farm Junction,1705,3,0,12400000
Banglore,Begur,1187,2,0,4900000
Banglore,Bommasandra,1270,2,1,5080000
Banglore,Hosa Road,1726,3,1,9458000
Banglore,Sahakar Nagar,2470,4,1,23700000
Banglore,Kadugodi,1570,3,0,7363000
Banglore,Jakkur,1120,2,0,5489000
Banglore,Jigani,1506,3,1,4216000
Banglore,Krishnarajapura,1040,2,1,4368000
Banglore,Brookefield,1150,2,0,7600000
Banglore,Horamavu,1045,2,0,4545000
Banglore,Banashankari,2480,3,1,23100000
Banglore,RR Nagar,1160,2,1,8000000
Banglore,RR Nagar,1143,2,1,4514000
Banglore,RR Nagar,1300,2,1,5460000
Banglore,Nelamangala,966,2,0,4414000
Banglore,Begur,1245,2,0,8868000
Banglore,Ramamurthy Nagar,1275,2,0,6133000
Banglore,Attibele,1085,2,0,3038000
Banglore,Nelamangala,1286,3,0,7100000
Banglore,Banaswadi,1155,2,1,7506999
Banglore,Whitefield Hope Farm Junction,1304,3,1,6520000
Banglore,Kodigehalli,1120,2,1,6389000
Banglore,ITPL,2017,3,1,11700000
Banglore,Electronic City Phase 1,1304,3,0,4562000
Banglore,Ramamurthy Nagar,649,1,0,2951000
Banglore,Krishnarajapura,1108,2,1,4264000
Banglore,Krishnarajapura,1675,3,1,6698000
Banglore,Kasavanahalli,1075,2,1,4500000
Banglore,Varthur,1120,2,0,4928000
Banglore,Vidyaranyapura,1350,2,0,6100000
Banglore,Electronic City Phase 2,1404,2,1,6151000
Banglore,Begur,1080,2,0,5426000
Banglore,J. P. Nagar,1800,3,0,13000000
Banglore,K. Chudahalli,1060,2,1,4850000
Banglore,Narayanaghatta,1540,3,1,4604000
Banglore,Anekal City,1110,3,0,3607000
Banglore,Sahakar Nagar,1645,3,1,16500000
Banglore,Sarjapur,1345,3,1,4840000
Banglore,Koramangala,1866,3,1,25800000
Banglore,Hebbal,3500,3,1,51000000
Banglore,Electronic City Phase 1,1145,2,0,4809000
Banglore,Budigere Cross,935,2,1,5070000
Banglore,Bommanahalli,1455,3,1,10500000
Banglore,Varthur,1145,2,1,4580000
Banglore,Whitefield Hope Farm Junction,1635,3,0,5559000
Banglore,RR Nagar,1145,2,1,4723000
Banglore,Krishnarajapura,1175,3,0,4465000
Banglore,Varthur,1216,2,1,8954000
Banglore,Electronics City,1005,2,0,4000000
Banglore,Chikkalasandra,1200,2,0,5400000
Banglore,Kogilu,1279,2,1,8784000
Banglore,Nayandahalli,1180,2,1,7900000
Banglore,Electronic City Phase 2,1310,3,1,4781000
Banglore,Bilekahalli,1776,3,1,15000000
Banglore,Horamavu,1125,2,1,4700000
Banglore,Muneshwara Nagar,1195,3,0,7767000
Banglore,Thanisandra,1272,2,1,6487000
Banglore,Junnasandra,2170,3,1,14000000
Banglore,RR Nagar,1510,3,0,8758000
Banglore,Kothanur,1170,2,0,5500000
Banglore,Kadugodi Industrial Area,1215,2,0,4900000
Banglore,Horamavu,1045,2,0,4545000
Banglore,ITPL,1833,3,1,22000000
Banglore,RMV Extension Stage 2,1100,2,0,7500000
Banglore,Kudlu,900,2,0,3779999
Banglore,Varthur,1216,2,1,8954000
Banglore,Koramangala,1866,3,1,25800000
Banglore,Varthur,1216,2,1,8954000
Banglore,Electronic City Phase 2,1505,3,1,8218000
Banglore,Jakkur,1502,3,1,8656000
Banglore,Doddanekundi,1675,3,0,7520000
Banglore,Begur,1805,3,1,11000000
Banglore,Begur,1880,3,1,11399999
Banglore,Begur,2180,4,1,13000000
Banglore,Begur,1850,3,1,11299999
Banglore,Doddanekundi,1350,2,0,6736000
Banglore,Doddanekundi,1650,3,0,8233000
Banglore,Doddanekundi,1355,3,0,6761000
Banglore,Doddanekundi,1325,2,0,6611000
Banglore,Doddanekundi,1260,2,0,6287000
Banglore,Doddanekundi,1290,2,0,6437000
Banglore,Doddanekundi,1225,2,0,6112000
Banglore,Doddanekundi,1300,2,0,6487000
Banglore,Kengeri,1152,2,1,4722000
Banglore,Kengeri,1119,2,1,4586000
Banglore,Kengeri,1118,2,1,4582000
